occ;titre;organisation;datasetKey
47699;Camera-trapping: wild and domestic species occurrences in three Pyrenean pastures;UMR 5602 GEODE Géographie de l’environnement (CNRS/Université Toulouse 2);fefe45aa-0d87-4cfd-b8fc-decee91fc2fc
31300;iNaturalist Research-grade Observations;iNaturalist.org;50c9509d-22c7-4a22-a47d-8c48425ef4a7
17483;Observation.org, Nature data from around the World;Observation.org;8a863029-f435-446a-821e-275f4f641165
5029;Données d'observation flore du réseau des CBN issues du système d'information de la FCBN;UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris;d7cc19ba-7785-4131-ab63-3328a99ecfab
3189;Inventaire national des araignées de France métropolitaine;UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris;38b69d98-e980-4a30-aaf7-f9616d34ae02
1819;Carnet en Ligne;Tela Botanica;baa86fb2-7346-4507-a34f-44e4c1bd0d57
534;CRBPO : STOC, Baguage;UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris;ab47c4a9-4b6a-4d59-b846-899d9420f7d3
273;Paleobiology Database;Paleobiology Database;bb5b30b4-827e-4d5e-a86a-825d65cb6583
184;Xeno-canto - Bird sounds from around the world;Xeno-canto Foundation for Nature Sounds;b1047888-ae52-4179-9dd5-5448ea342a24
171;Xeno-canto - Orthoptera sounds from around the world;Xeno-canto Foundation for Nature Sounds;ecce3417-d4fd-4fab-9009-09ad3f3f62b3
103;Col·lecció de líquens de l'herbari de la Universitat de Barcelona;Herbario BCN (CeDocBiV-Univ. de Barcelona);7f2889e6-f762-11e1-a439-00145eb45e9a
91;Suivi de l'expansion du Frelon asiatique (Vespa velutina) : données Frelon;UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris;4145cd45-8a92-426d-be8b-bfbbf5209032
70;Herbarium – De Candolle's Prodromus (CJBG-G-DC) of Conservatoire et Jardin botaniques de Genève;Swiss Natural History Collections - SwissNatColl;63e9e22d-a649-4087-b39e-acb1651af077
69;BirdMap Data - GPS tracking of Storks, Cranes and birds of prey, breeding in Northern and Eastern Europe;PlutoF;712dba38-74cc-4704-87c0-63d1bf8484bc
54;Cartographie des Leguminosae (Fabaceae) en France;Tela Botanica;cbd241aa-a115-4856-af66-fac5cb90f2cc
52;Col·lecció de plantes de l'herbari de la Universitat de Barcelona;Herbario BCN (CeDocBiV-Univ. de Barcelona);834f1756-f762-11e1-a439-00145eb45e9a
51;Institut Botanic de Barcelona (IBB), CSIC-CMCNB – BC-Plantae;Institut Botànic de Barcelona (CSIC-CMCNB);838475f4-f762-11e1-a439-00145eb45e9a
50;Lund University Biological Museum - Insect collections Specimens;Lund University Biological Museum;b23c2479-214f-4160-9f98-bd3831ab131b
37;CSIC-Real Jardín Botánico-Anthos. Sistema de Información de las Plantas de España;Real Jardín Botánico (CSIC);4cf3eec1-b902-40c9-b15b-05c5fe5928b6
31;Charles Gardner Shaw Mycological Herbarium, Washington State University;Charles Gardner Shaw Mycological Herbarium, Washington State University;0ec61c42-6eda-441e-b327-7ec241c8ec95
30;Institut Botanic de Barcelona (IBB), CSIC-CMCNB – BC-Trèmols;Institut Botànic de Barcelona (CSIC-CMCNB);e0737b6f-8e8b-4ea5-aad4-b905a79a86ae
30;Museum of Comparative Zoology, Harvard University;Museum of Comparative Zoology, Harvard University;4bfac3ea-8763-4f4b-a71a-76a6f5f243d3
28;Lund University Biological Museum - Botanical collection (LD);Lund University Biological Museum;aab0cf80-0c64-11dd-84d1-b8a03c50a862
21;RBINS DaRWIN;Royal Belgian Institute of Natural Sciences;8138eb72-f762-11e1-a439-00145eb45e9a
18;Duke University Herbarium Lichen Collection;Duke University Herbarium;ee4d0706-38af-4bc4-8539-e17c0ca8512e
