count;license;deja_en_base;title;sinp_uuid;key;doi;jdd_local;nb_local
117197;CC-BY;non;Faune Occitanie : Saisie naturaliste opportuniste-Données opportunistes OISEAUX de Faune-Occitanie;c3710778-6492-4094-b7a6-9d63a76e133a;c3710778-6492-4094-b7a6-9d63a76e133a;10.15468/2pbhz4;;
98098;CC-BY;non;INPN - Données flore des CBN agrégées par la FCBN;75956ee6-1a2b-4fa3-b3e8-ccda64ce6c2d;75956ee6-1a2b-4fa3-b3e8-ccda64ce6c2d;10.15468/omae84;;
92226;CC-BY;non;Saisie naturaliste opportuniste dans SICEN Occitanie-Données opportunistes du CEN Midi-Pyrénées;1560f099-f48d-43ac-8d88-ce329a53aa7e;1560f099-f48d-43ac-8d88-ce329a53aa7e;10.15468/jqsgs8;;
72142;CC-BY;non;Données piscicoles et astacicoles des cours d'eau de France métropolitaine bancarisées dans ASPE (OFB) - Données acquises selon le protocole de pêche complète à un ou plusieurs passages - ASPE - OFB;724ec4af-c9a3-490b-b718-a1b202437c0f;724ec4af-c9a3-490b-b718-a1b202437c0f;10.15468/3fl71g;;
48482;CC-BY;non;Observations opportunistes de flore vasculaire, bryophytes, champignons et lichens-Observations opportunistes Flore, Fonge et Bryophytes des salariés et bénévoles de l'ANA;24162425-24c3-4bf2-b1b1-e29b7c19931a;24162425-24c3-4bf2-b1b1-e29b7c19931a;10.15468/g5b9bq;;
40005;CC-BY;non;Données de l'inventaire forestier national de l'IGN-Relevés floristiques du protocole de l'Inventaire National Forestier de l'IGN;e5f16d86-e225-4822-97be-a64ce17079c7;e5f16d86-e225-4822-97be-a64ce17079c7;10.15468/kqs0zw;;
32022;CC-BY;non;Observations opportunistes de flore vasculaire, bryophytes, champignons et lichens-Observations opportunistes Flore, Fonge et Bryophytes des salariés et bénévoles du CBNPMP;e2d928f8-abbc-402c-9c78-c34f248ca096;e2d928f8-abbc-402c-9c78-c34f248ca096;10.15468/63hxwq;;
30975;CC-BY;non;Programmes de connaissance sur les communautés d'invertébrés en Occitanie-Données des lépidoptères de France issues du portail Artemisiae;;c95d7c37-9ff8-4ad9-a856-ca0f4d3fd9ed;10.15468/3mh2vt;;
30369;CC-BY;non;Inventaire général de la flore vasculaire sur le territoire d'agrément du CBNPMP-Inventaire général de la flore vasculaire de Midi-Pyrénées par le CBNPMP;dd3d3542-9038-4c60-9bbe-c683101e83ed;dd3d3542-9038-4c60-9bbe-c683101e83ed;10.15468/h4w74x;;
16946;CC-BY;non;Données Oiseaux des Jardins;;e0876b81-db28-4e44-891e-ae768e6bb9b5;10.15468/db5mw8;;
15435;CC-BY;non;Données piscicoles et astacicoles des cours d'eau de France métropolitaine bancarisées dans ASPE (OFB) - Données acquises selon le protocole de pêche partielle par points - ASPE - OFB;0b5f972e-0f84-4d07-9b84-96c09e2925da;0b5f972e-0f84-4d07-9b84-96c09e2925da;10.15468/q1g8w7;;
14827;CC-BY;non;Observations opportunistes de flore vasculaire, bryophytes, champignons et lichens-Observations Flore, Fonge et Bryophytes de l'ONF en Midi-Pyrénées;25f25b99-44b1-40c8-9402-7ff824c9063d;25f25b99-44b1-40c8-9402-7ff824c9063d;10.15468/v54pqr;;
14310;CC-BY;non;Dépouillements bibliographiques du CBNPMP-Dépouillements bibliographiques réalisées par le CBNPMP;323c7189-3af3-4500-928d-8f8582dbd19d;323c7189-3af3-4500-928d-8f8582dbd19d;10.15468/8d9afn;;
13930;CC-BY;non;Observations opportunistes de flore vasculaire, bryophytes, champignons et lichens-Observations opportunistes Flore, Fonge et Bryophytes du CRPF en Midi-Pyrénées;;b7b219b2-b602-40a2-8427-3d02884bf70d;10.15468/559yuj;;
13865;CC-BY;non;Inventaires sur le PNR ariégeois-Inventaires réalisés pour le projet de PNR d'Ariège;064a65f2-76b7-4035-bd05-83816f19148e;064a65f2-76b7-4035-bd05-83816f19148e;10.15468/gfuscy;;
13080;CC-BY;non;CardObs : Observations naturalistes issues de l'outil CardObs-Données naturalistes de Pierre HUGUENY;aec85dc0-9807-4bad-aa4e-aa1e8f0bfeeb;aec85dc0-9807-4bad-aa4e-aa1e8f0bfeeb;10.15468/w3wntg;;
12807;CC-BY;non;Atlas écologique régional des papillons de jour et zygènes (Lépidoptères) de Midi-Pyrénées-Données de l'Atlas écologique régional des papillons de jour et zygènes;cb7e5bb6-899d-4665-8825-cc83fddeb546;cb7e5bb6-899d-4665-8825-cc83fddeb546;10.15468/yw2sr2;;
12117;CC-BY;non;Import données Baznat oiseaux;;d52f20c1-ee9a-46e4-a517-32c62cc7396c;10.15468/wzd5n8;;
10680;CC-BY;non;Données d'occurrences Espèces issues de l'inventaire des ZNIEFF;f946666e-67dc-4848-9fa8-2162f3559e33;f946666e-67dc-4848-9fa8-2162f3559e33;10.15468/ikshke;;
10238;CC-BY;non;Données naturalistes opportunistes Faune-France - Données Naturalistes Faune-France 2020 Communes;;e357cdec-295a-4b91-ac7d-abf5fbbc43bb;10.15468/demggq;;
9810;CC-BY;non;Données naturalistes opportunistes Faune-France-Données Naturalistes Faune-France 2021 Communes;;256b9877-cef3-4e8e-84e1-f23299c49655;10.15468/sp9mjx;;
9364;CC-BY;non;Données piscicoles et astacicoles des cours d'eau de France métropolitaine bancarisées dans ASPE (OFB) - Données acquises selon le protocole de pêche par ambiance - ASPE - OFB;1c124078-9b39-4042-84af-b2f948dad993;1c124078-9b39-4042-84af-b2f948dad993;10.15468/qbgjt5;;
8381;CC-BY;non;Appui technique et scientifique auprès de l'Ecole d'Ingénieurs de Purpan (EIP)-Données CEN M-P EIP;335ff637-974a-40ae-a638-f8b256f835e4;335ff637-974a-40ae-a638-f8b256f835e4;10.15468/gdvjng;;
8376;CC-BY;non;Inventaire des coléoptères saproxyliques de France métropolitaine - Données SAPROX - Ecole d'ingénieur de Purpan;a1b96bad-8ef6-4fcb-9653-fb74535a97e4;a1b96bad-8ef6-4fcb-9653-fb74535a97e4;10.15468/0nhpuu;;
8270;CC-BY;non;Données naturalistes opportunistes Faune-France - Liste des espèces de la faune sauvage observées en 2019 selon le maillage communal français de la base de données naturalistes Faune-France;54594d70-93cf-4bce-8232-f257077bdcc0;54594d70-93cf-4bce-8232-f257077bdcc0;10.15468/wzbxqb;;
